Each control box is 32 bytes  (  + 20 / box  )
Base - fff4_5000

      sys addr contents
111 ? fff4500000000000     4,312  < DMA source      >
111 ? fff4500000000000     1,314  < DMA destination >

111 ? fff45140 4001cf20     1,310
111 ? fff45140 fff80024     1,316 < EQADC_CFPR5 - eQADC command FIFO push register 5 >

111 ? fff45160 fff80046     1,312 < EQADC_RFPR5 - eQADC result FIFO pop register 5 + 2 >
111 ? fff45160 4001d0d6     1,312


111 ? fff45400 00000000     1,316
111 ? fff45400 fff90034     1,310 < DSPIA_PUSHR - DSPI push TX FIFO register >

111 ? fff45420 fff9003a     1,310 < DSPIA_POPR - DSPI pop RX FIFO register + 2 >
111 ? fff45420 00000000     1,318

111 ? fff45180 4001d194     1,314
111 ? fff45180 fff94034     1,318 < DSPIB_PUSHR - DSPI push TX FIFO register >

111 ? fff451a0 fff9403a     1,314 < DSPIB_POPR - DSPI pop RX FIFO register + 2 >
111 ? fff451a0 4001d1ce     1,312

111 ? fff451c0 4001d59c     1,314
111 ? fff451c0 fff98034     1,316 < DSPIC_PUSHR - DSPI push TX FIFO register >

111 ? fff451e0 fff9803a     1,314 < DSPIC_POPR - DSPI pop RX FIFO register + 2 >
111 ? fff451e0 4001d77c     1,316

111 ? fff45200 4001d790     1,318
111 ? fff45200 fff9c034     1,312 < DSPID_PUSHR - DSPI push TX FIFO register >

111 ? fff45220 fff9c03a     1,314 < DSPID_POPR - DSPI pop RX FIFO register + 2 >
111 ? fff45220 4001d79a     1,314





111 ? fff4502000000000     1,314
111 ? fff4502000000000     1,314
111 ? fff4504000000000     1,316
111 ? fff4504000000000     1,314
111 ? fff4506000000000     1,314
111 ? fff4506000000000     1,314
111 ? fff4508000000000     1,314
111 ? fff4508000000000     1,314
111 ? fff450a000000000     1,312
111 ? fff450a000000000     1,314
111 ? fff450c000000000     1,320
111 ? fff450c000000000     1,314
111 ? fff450e000000000     1,312
111 ? fff450e000000000     1,314
111 ? fff4510000000000     1,316
111 ? fff4510000000000     1,314
111 ? fff4512000000000     1,316
111 ? fff4512000000000     1,314

.. /\

111 ? fff4524000000000     1,322
111 ? fff4524000000000     1,316
111 ? fff4526000000000     1,314
111 ? fff4526000000000     1,314
111 ? fff4528000000000     1,316
111 ? fff4528000000000     1,314
111 ? fff452a000000000     1,312
111 ? fff452a000000000     1,316
111 ? fff452c000000000     1,314
111 ? fff452c000000000     1,314
111 ? fff452e000000000     1,314
111 ? fff452e000000000     1,314
111 ? fff4530000000000     1,320
111 ? fff4530000000000     1,314
111 ? fff4532000000000     1,312
111 ? fff4532000000000     1,314
111 ? fff4534000000000     1,318
111 ? fff4534000000000     1,314
111 ? fff4536000000000     1,314
111 ? fff4536000000000     1,314
111 ? fff4538000000000     1,316
111 ? fff4538000000000     1,314
111 ? fff453a000000000     1,312
111 ? fff453a000000000     1,314
111 ? fff453c000000000     1,316
111 ? fff453c000000000     1,314
111 ? fff453e000000000     1,318
111 ? fff453e000000000     1,314

.. /\

111 ? fff4544000000000     1,318
111 ? fff4544000000000     1,314
111 ? fff4546000000000     1,314
111 ? fff4546000000000     1,314
111 ? fff4548000000000     1,314
111 ? fff4548000000000     1,314
111 ? fff454a000000000     1,318
111 ? fff454a000000000     1,314
111 ? fff454c000000000     1,314
111 ? fff454c000000000     1,314
111 ? fff454e000000000     1,314
111 ? fff454e000000000     1,314
111 ? fff4550000000000     1,316
111 ? fff4550000000000     1,318
111 ? fff4552000000000     1,314
111 ? fff4552000000000     1,314
111 ? fff4554000000000     1,316
111 ? fff4554000000000     1,314
111 ? fff4556000000000     1,312
111 ? fff4556000000000     1,316
111 ? fff4558000000000     1,314
111 ? fff4558000000000     1,314
111 ? fff455a000000000     1,314
111 ? fff455a000000000     1,316
111 ? fff455c000000000     1,312
111 ? fff455c000000000     1,316
111 ? fff455e000000000     1,318
111 ? fff455e000000000     1,314
111 ? fff4560000000000     1,318
111 ? fff4560000000000     1,314
111 ? fff4562000000000     1,308
111 ? fff4562000000000     1,318
111 ? fff4564000000000     1,312
111 ? fff4564000000000     1,314
111 ? fff4566000000000     1,314
111 ? fff4566000000000     1,314
111 ? fff4568000000000     1,314
111 ? fff4568000000000     1,314
111 ? fff456a000000000     1,322
111 ? fff456a000000000     1,314
111 ? fff456c000000000     1,312
111 ? fff456c000000000     1,314
111 ? fff456e000000000     1,312
111 ? fff456e000000000     1,314
111 ? fff4570000000000     1,322
111 ? fff4570000000000     1,314
111 ? fff4572000000000     1,312
111 ? fff4572000000000     1,314
111 ? fff4574000000000     1,312
111 ? fff4574000000000     1,314
111 ? fff4576000000000     1,318
111 ? fff4576000000000     1,314
111 ? fff4578000000000     1,314
111 ? fff4578000000000     1,314
111 ? fff457a000000000     1,314
111 ? fff457a000000000     1,314
111 ? fff457c000000000     1,320
111 ? fff457c000000000     1,314
111 ? fff457e000000000     1,314
111 ? fff457e000000000     1,314
