
FFF45040, 4001D138 < - source
FFF45044, 02020004
FFF45048, 00000004
FFF4504C, FFFFFFFC
                   < - need FFF45050 to determine destination

FFF45060, FFF80036 < - source
FFF45064, 01010000
FFF45068, 00000002
FFF4506C, 00000000

FFF45080, 4001D140 < - ..
FFF45084, 02020004
FFF45088, 00000004
FFF4508C, FFFFFFFC

FFF450A0, FFF8003A
FFF450A4, 01010000
FFF450A8, 00000002
FFF450AC, 00000000

FFF450C0, 4001D158
FFF450C4, 02020004
FFF450C8, 00000004
FFF450CC, FFFFFFE4

FFF450E0, FFF8003E
FFF450E4, 01010000
FFF450E8, 00000002
FFF450EC, 00000000

FFF45100, 4001D184
FFF45104, 02020004
FFF45108, 00000004
FFF4510C, FFFFFFE4

FFF45120, FFF80042
FFF45124, 01010000
FFF45128, 00000002
FFF4512C, 00000000

FFF45140, 4001D28C
FFF45144, 02020004
FFF45148, 00000004
FFF4514C, FFFFFDD8

FFF45160, FFF80046
FFF45164, 01010000
FFF45168, 00000002
FFF4516C, 00000000

FFF45180, 4001D590
FFF45184, 02020004
FFF45188, 00000004
FFF4518C, 00000000

FFF451A0, FFF9403A
FFF451A4, 01010000
FFF451A8, 00000002
FFF451AC, 00000000

FFF451C0, 4001D858
FFF451C4, 02020004
FFF451C8, 00000004
FFF451CC, 00000000

FFF451E0, FFF9803A
FFF451E4, 01010000
FFF451E8, 00000002
FFF451EC, 00000000

FFF45200, 4001D9D0
FFF45204, 02020004
FFF45208, 00000004
FFF4520C, 00000000

FFF45220, FFF9C03A
FFF45224, 01010000
FFF45228, 00000002
FFF4522C, 00000000

FFF453C0, 40019FB8
FFF453C4, 02020004
FFF453C8, 00000008
FFF453CC, FFFFFFF8

FFF45400, 40019504
FFF45404, 02020004
FFF45408, 00000004
FFF4540C, 00000000

FFF45420, FFF9003A
FFF45424, 01010000
FFF45428, 00000002
FFF4542C, 00000000



.. ..

FFF453E0, 00000000
FFF453E4, 00000000
FFF453E8, 00000000
FFF453EC, 00000000

FFF45000, 00000000
FFF45004, 02020000
FFF45008, 00000004
FFF4500C, 00000000
FFF45020, 00000000
FFF45024, 01010000
FFF45028, 00000002
FFF4502C, 00000000

FFF45240, 00000000
FFF45244, 00000000
FFF45248, 00000000
FFF4524C, 00000000
FFF45260, 00000000
FFF45264, 00000000
FFF45268, 00000000
FFF4526C, 00000000
FFF45280, 00000000
FFF45284, 00000000
FFF45288, 00000000
FFF4528C, 00000000
FFF452A0, 00000000
FFF452A4, 00000000
FFF452A8, 00000000
FFF452AC, 00000000
FFF452C0, 00000000
FFF452C4, 00000000
FFF452C8, 00000000
FFF452CC, 00000000
FFF452E0, 00000000
FFF452E4, 00000000
FFF452E8, 00000000
FFF452EC, 00000000
FFF45300, 00000000
FFF45304, 00000000
FFF45308, 00000000
FFF4530C, 00000000
FFF45320, 00000000
FFF45324, 00000000
FFF45328, 00000000
FFF4532C, 00000000
FFF45340, 00000000
FFF45344, 00000000
FFF45348, 00000000
FFF4534C, 00000000
FFF45360, 00000000
FFF45364, 00000000
FFF45368, 00000000
FFF4536C, 00000000
FFF45380, 00000000
FFF45384, 00000000
FFF45388, 00000000
FFF4538C, 00000000

FFF453A0, 00000000
FFF453A4, 00000000
FFF453A8, 00000000
FFF453AC, 00000000

FFF45440, 00000000
FFF45444, 00000000
FFF45448, 00000000
FFF4544C, 00000000
FFF45460, 00000000
FFF45464, 00000000
FFF45468, 00000000
FFF4546C, 00000000
FFF45480, 00000000
FFF45484, 00000000
FFF45488, 00000000
FFF4548C, 00000000
FFF454A0, 00000000
FFF454A4, 00000000
FFF454A8, 00000000
FFF454AC, 00000000
FFF454C0, 00000000
FFF454C4, 00000000
FFF454C8, 00000000
FFF454CC, 00000000
FFF454E0, 00000000
FFF454E4, 00000000
